1.1988, INV017537, 1, C:\media\DRSRetrieve\top500\INV017537.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18782935?width=1024&height=1024, OK
129.1996, INV206641, 1, C:\media\DRSRetrieve\top500\INV206641.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/12654628?width=1024&height=1024, OK
1895.695, INV058314, 1, C:\media\DRSRetrieve\top500\INV058314.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20228026?width=1024&height=1024, OK
1895.698, 52101, 1, C:\media\DRSRetrieve\top500\52101.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17388032?width=1024&height=1024, OK
1895.716, 53550, 1, C:\media\DRSRetrieve\top500\53550.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17388679?width=1024&height=1024, OK
1898.115, LEG840, 1, C:\media\DRSRetrieve\top500\LEG840.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43164494?width=1024&height=1024, OK
1906.5, 30458, 1, C:\media\DRSRetrieve\top500\30458.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182163?width=1024&height=1024, OK
1907.2, 70226, 1, C:\media\DRSRetrieve\top500\70226.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17803766?width=1024&height=1024, OK
1910.5, 31454, 1, C:\media\DRSRetrieve\top500\31454.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20673817?width=1024&height=1024, OK
1916.496, 30126, 1, C:\media\DRSRetrieve\top500\30126.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20673616?width=1024&height=1024, OK
1919.480, CARP07706, 1, C:\media\DRSRetrieve\top500\CARP07706.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18721574?width=1024&height=1024, OK
1919.51, 76338, 1, C:\media\DRSRetrieve\top500\76338.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17825686?width=1024&height=1024, OK
1920.30.A, 33976, 1, C:\media\DRSRetrieve\top500\33976.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20675005?width=1024&height=1024, OK
1921.34, DDC104944, 1, C:\media\DRSRetrieve\top500\DDC104944.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/8109921?width=1024&height=1024, OK
1922.129, INV001798, 1, C:\media\DRSRetrieve\top500\INV001798.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18740803?width=1024&height=1024, OK
1922.151, 34188, 1, C:\media\DRSRetrieve\top500\34188.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20675134?width=1024&height=1024, OK
1924.27, 50409, 1, C:\media\DRSRetrieve\top500\50409.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183404?width=1024&height=1024, OK
1924.30, 21018, 1, C:\media\DRSRetrieve\top500\21018.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17288894?width=1024&height=1024, OK
1924.40.1, DDC110936, 1, C:\media\DRSRetrieve\top500\DDC110936.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17424309?width=1024&height=1024, OK
1924.70, 52179, 1, C:\media\DRSRetrieve\top500\52179.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183525?width=1024&height=1024, OK
1925.16, 30014, 1, C:\media\DRSRetrieve\top500\30014.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182076?width=1024&height=1024, OK
1925.30.124, 30029, 1, C:\media\DRSRetrieve\top500\30029.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182082?width=1024&height=1024, OK
1926.48, DDC111366, 1, C:\media\DRSRetrieve\top500\DDC111366.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/23014765?width=1024&height=1024, OK
1928.15.42, INV021425, 1, C:\media\DRSRetrieve\top500\INV021425.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18786796?width=1024&height=1024, OK
1929.10, 21331, 1, C:\media\DRSRetrieve\top500\21331.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17328899?width=1024&height=1024, OK
1929.234, DDC104925, 1, C:\media\DRSRetrieve\top500\DDC104925.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/8064320?width=1024&height=1024, OK
1929.90, 51644, 1, C:\media\DRSRetrieve\top500\51644.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17387748?width=1024&height=1024, OK
1930.191, 39164, 1, C:\media\DRSRetrieve\top500\39164.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182346?width=1024&height=1024, OK
1930.459, DDC105412, 1, C:\media\DRSRetrieve\top500\DDC105412.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/8897461?width=1024&height=1024, OK
1931.66, LEG8109, 1, C:\media\DRSRetrieve\top500\LEG8109.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43164428?width=1024&height=1024, OK
1931.9, DDC112337, 1, C:\media\DRSRetrieve\top500\DDC112337.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/25992303?width=1024&height=1024, OK
1932.138, 70775, 1, C:\media\DRSRetrieve\top500\70775.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17804286?width=1024&height=1024, OK
1932.152, 75244, 1, C:\media\DRSRetrieve\top500\75244.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18482359?width=1024&height=1024, OK
1933.4.2039, CARP07112, 1, C:\media\DRSRetrieve\top500\CARP07112.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18721007?width=1024&height=1024, OK
1933.4.2645, CARP00602, 1, C:\media\DRSRetrieve\top500\CARP00602.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18211005?width=1024&height=1024, OK
1933.4.510, 52247, 1, C:\media\DRSRetrieve\top500\52247.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17388061?width=1024&height=1024, OK
1933.4.91, CARP09927, 1, C:\media\DRSRetrieve\top500\CARP09927.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18723723?width=1024&height=1024, OK
1933.97, 30680, 1, C:\media\DRSRetrieve\top500\30680.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17357910?width=1024&height=1024, OK
1934.179, LEG8253, 1, C:\media\DRSRetrieve\top500\LEG8253.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43164477?width=1024&height=1024, OK
